Energy Num_Lines PIGE_Energy PIGE_Counts
2000 1 844 36.8873417154861
2002 1 844 36.8873430998424
2004 1 844 36.8872996797336
2006 1 844 36.8872940840848
2008 1 844 36.8873167948619
2010 1 844 36.8873360553941
2012 1 844 36.8873493073791
2014 1 844 36.8873105851144
2016 1 844 36.8872804654414
2018 1 844 36.8873149401162
2020 1 844 36.8873376107485
2022 1 844 36.88734171228
2024 1 844 36.8873221133058
2026 1 844 36.8872824171393
2028 1 844 36.8873017865392
2030 1 844 36.8873484750886
2032 1 844 36.8873396023212
2034 1 844 36.8873134762312
2036 1 844 36.8872971932722
2038 1 844 36.8872959881788
2040 1 844 36.8873423034414
