Energy Num_Lines PIGE_Energy PIGE_Counts
2000 1 844 36.8873416784903
2002 1 844 36.8873430060539
2004 1 844 36.8872997021712
2006 1 844 36.8872941474406
2008 1 844 36.8873168674124
2010 1 844 36.8873360748309
2012 1 844 36.8873491512826
2014 1 844 36.887328034936
2016 1 844 36.887337796501
2018 1 844 36.8873104638076
2020 1 844 36.8872932344863
2022 1 844 36.8873353741262
2024 1 844 36.8873438683834
2026 1 844 36.8872990669563
2028 1 844 36.887299301244
2030 1 844 36.8873173580578
2032 1 844 36.8873286721977
2034 1 844 36.8873464946708
2036 1 844 36.8873074312151
2038 1 844 36.8872851007495
2040 1 844 36.8873335304839
