Energy Num_Lines PIGE_Energy PIGE_Counts
2000 1 844 36.8873105954592
2002 1 844 36.8873105141377
2004 1 844 36.8873382349916
2006 1 844 36.8873429156442
2008 1 844 36.8872916552899
2010 1 844 36.8873010149486
2012 1 844 36.8873371224873
2014 1 844 36.8873324858684
2016 1 844 36.8873214024834
2018 1 844 36.8873034540727
2020 1 844 36.8872981296621
2022 1 844 36.8873416336103
2024 1 844 36.8873477639587
2026 1 844 36.8872917370444
2028 1 844 36.8872950704837
2030 1 844 36.8873292758595
2032 1 844 36.8873362039405
2034 1 844 36.8873331191234
2036 1 844 36.8872994902832
2038 1 844 36.8872900770449
2040 1 844 36.8873421041187
