Energy Num_Lines PIGE_Energy PIGE_Counts
2000 1 844 36.8873165492767
2002 1 844 36.8873336481623
2004 1 844 36.8873365386953
2006 1 844 36.8873222808303
2008 1 844 36.8872857336462
2010 1 844 36.8873081214799
2012 1 844 36.8873577729557
2014 1 844 36.8873325075264
2016 1 844 36.8872893095845
2018 1 844 36.8873046066198
2020 1 844 36.8873221324789
2022 1 844 36.887346046482
2024 1 844 36.8873316079167
2026 1 844 36.8872800292011
2028 1 844 36.887300702851
2030 1 844 36.8873519661974
2032 1 844 36.887339996405
2034 1 844 36.8873097775826
2036 1 844 36.8872963996944
2038 1 844 36.887297388557
2040 1 844 36.887344659705
