Energy Num_Lines PIGE_Energy PIGE_Counts
2000 1 844 36.8873187218879
2002 1 844 36.8873187218879
2004 1 844 36.8873187218879
2006 1 844 36.8873187218879
2008 1 844 36.8873187218879
2010 1 844 36.8873187218879
2012 1 844 36.8873187218879
2014 1 844 36.8873187218879
2016 1 844 36.8873187218879
2018 1 844 36.8873187218879
2020 1 844 36.8873187218879
2022 1 844 36.8873187218879
2024 1 844 36.8873187218879
2026 1 844 36.8873187218879
2028 1 844 36.8873187218879
2030 1 844 36.8873187218879
2032 1 844 36.8873187218879
2034 1 844 36.8873187218879
2036 1 844 36.8873187218879
2038 1 844 36.8873187218879
2040 1 844 36.8873187218879
