Energy Num_Lines PIGE_Energy PIGE_Counts
1683.3 1 844 36.8874467510996
1685.3 1 844 36.8870923724035
1687.3 1 844 36.8868705068152
1689.3 1 844 36.8874305884152
1691.3 1 844 36.8875635484821
1693.3 1 844 36.8874977317645
1695.3 1 844 36.8871645821661
1697.3 1 844 36.8868265489183
1699.3 1 844 36.8873158545037
1701.3 1 844 36.8875735136972
1703.3 1 844 36.8875408151295
1705.3 1 844 36.8874300740705
1707.3 1 844 36.8868388336485
1709.3 1 844 36.8872132607321
1711.3 1 844 36.8875317651991
1713.3 1 844 36.887579821402
1715.3 1 844 36.8875587643809
1717.3 1 844 36.8867930652415
1719.3 1 844 36.887140910637
1721.3 1 844 36.8874857256737
1723.3 1 844 36.8876215748648
