Energy Num_Lines PIGE_Energy PIGE_Counts
2000 1 844 9.74437450096414
2005 1 844 9.09417282914787
2010 1 844 8.47908553573104
2015 1 844 7.95723899417256
2020 1 844 7.54571001418328
2025 1 844 7.23881585909432
2030 1 844 7.0396346486469
2035 1 844 6.8648779416644
2040 1 844 6.60596446657307
2045 1 844 6.19605704271175
2050 1 844 5.61572390852715
2055 1 844 4.85153867307529
2060 1 844 4.02350077202747
2065 1 844 3.31304399406745
2070 1 844 2.81979922022279
2075 1 844 2.53394703211035
2080 1 844 2.39760896929128
2085 1 844 2.35238220906529
2090 1 844 2.37910097464108
2095 1 844 2.48374028014023
2100 1 844 2.71655305843532
2105 1 844 2.95300375873475
2110 1 844 3.10133320223526
2115 1 844 3.17852167384768
2120 1 844 3.21003999936841
