Energy Num_Lines PIGE_Energy PIGE_Counts
2000 1 844 9.74584977961786
2005 1 844 9.0944656468489
2010 1 844 8.47827417610395
2015 1 844 7.95614304606366
2020 1 844 7.54471016372644
2025 1 844 7.2379533990226
2030 1 844 7.03924514873464
2035 1 844 6.86488367214783
2040 1 844 6.60653944873152
2045 1 844 6.19709529758241
2050 1 844 5.61779560226274
2055 1 844 4.85340918522426
2060 1 844 4.02356124752446
2065 1 844 3.31143020572571
2070 1 844 2.81772953742925
2075 1 844 2.53222882794243
2080 1 844 2.39646087812459
2085 1 844 2.35159960122743
2090 1 844 2.37866900124405
2095 1 844 2.48312210441253
2100 1 844 2.71648977744698
2105 1 844 2.95329494020127
2110 1 844 3.10150294753451
2115 1 844 3.1788597225814
2120 1 844 3.20997899152855
