Energy Num_Lines PIGE_Energy PIGE_Counts
2000 1 844 9.75579561928821
2005 1 844 9.10983119651094
2010 1 844 8.48870350447502
2015 1 844 7.95831889606618
2020 1 844 7.54277638353177
2025 1 844 7.23651204152942
2030 1 844 7.03678760757285
2035 1 844 6.85634230588277
2040 1 844 6.58690981619998
2045 1 844 6.17264385556402
2050 1 844 5.60750798930089
2055 1 844 4.87180716252588
2060 1 844 4.05582310820474
2065 1 844 3.33319652106685
2070 1 844 2.82286365817597
2075 1 844 2.52927907777369
2080 1 844 2.3922182206841
2085 1 844 2.34835674731775
2090 1 844 2.37652094552159
2095 1 844 2.48306069808068
2100 1 844 2.7155991828286
2105 1 844 2.95045930068506
2110 1 844 3.09810532998576
2115 1 844 3.17621766227156
2120 1 844 3.2118410187636
