Energy Num_Lines PIGE_Energy PIGE_Counts
2000 1 844 9.7555476057854
2005 1 844 9.11001917059326
2010 1 844 8.48916894770232
2015 1 844 7.95878949002498
2020 1 844 7.54319757114057
2025 1 844 7.23701650822022
2030 1 844 7.03683658185136
2035 1 844 6.856027037352
2040 1 844 6.58621535942683
2045 1 844 6.17191884722873
2050 1 844 5.60662055072877
2055 1 844 4.87134771059017
2060 1 844 4.05617781088914
2065 1 844 3.33406514145699
2070 1 844 2.82369176462845
2075 1 844 2.52983971175784
2080 1 844 2.39252793826085
2085 1 844 2.34862725497493
2090 1 844 2.37670069129062
2095 1 844 2.48353814819154
2100 1 844 2.71541722664171
2105 1 844 2.95016391335321
2110 1 844 3.09791588149951
2115 1 844 3.17600116160225
2120 1 844 3.21202154535632
