Energy Num_Lines PIGE_Energy PIGE_Counts
2000 1 844 9.74476068646283
2005 1 844 9.09420770142828
2010 1 844 8.47878245979519
2015 1 844 7.95698506491423
2020 1 844 7.54544661868751
2025 1 844 7.23845426853975
2030 1 844 7.03960048083855
2035 1 844 6.86516768322307
2040 1 844 6.60657076129327
2045 1 844 6.19643934590222
2050 1 844 5.61629771936743
2055 1 844 4.85186310336694
2060 1 844 4.02319813451606
2065 1 844 3.31238277043077
2070 1 844 2.81919968701619
2075 1 844 2.53351624735889
2080 1 844 2.39735233191754
2085 1 844 2.35212415070753
2090 1 844 2.37894297119396
2095 1 844 2.48325820784981
2100 1 844 2.71664914323875
2105 1 844 2.953443598911
2110 1 844 3.10152903144835
2115 1 844 3.17876300344135
2120 1 844 3.20982486028802
