Energy Num_Lines PIGE_Energy PIGE_Counts
2000 1 844 9.74546823325329
2005 1 844 9.09444753312688
2010 1 844 8.47856736597434
2015 1 844 7.95638810333531
2020 1 844 7.54496313552091
2025 1 844 7.23831633652517
2030 1 844 7.03927011830081
2035 1 844 6.86460355619455
2040 1 844 6.60595760981627
2045 1 844 6.19672177972825
2050 1 844 5.61721236499834
2055 1 844 4.85305139822233
2060 1 844 4.0238436509515
2065 1 844 3.31207930096024
2070 1 844 2.81833284460039
2075 1 844 2.5326513751013
2080 1 844 2.3967291034279
2085 1 844 2.35185983714969
2090 1 844 2.37882450113521
2095 1 844 2.48360091568234
2100 1 844 2.71643303346054
2105 1 844 2.95292731922074
2110 1 844 3.10131657589283
2115 1 844 3.1785883954779
2120 1 844 3.21018973052404
