Energy Num_Lines PIGE_Energy PIGE_Counts
2000 1 844 4.6356640702231
2002 1 844 4.81023699677239
2004 1 844 4.93485965506852
2006 1 844 5.00570916409858
2008 1 844 5.01953295573449
2010 1 844 4.97716327402135
2012 1 844 4.88185459789605
2014 1 844 4.73753784675653
2016 1 844 4.54819102853197
2018 1 844 4.32165239319081
2020 1 844 4.06750556952666
2022 1 844 3.79477571186655
2024 1 844 3.51207831049986
2026 1 844 3.2300939867967
2028 1 844 2.958376641978
2030 1 844 2.70588504567139
2032 1 844 2.4814112701231
2034 1 844 2.29255285249597
2036 1 844 2.1453605551378
2038 1 844 2.04431085830613
2040 1 844 1.99207481384223
