Energy Num_Lines PIGE_Energy PIGE_Counts
2000 1 844 4.59983118066797
2002 1 844 4.76935048944729
2004 1 844 4.89019337464961
2006 1 844 4.95912196072515
2008 1 844 4.97261016096562
2010 1 844 4.93145062867078
2012 1 844 4.83873861889265
2014 1 844 4.69881159102562
2016 1 844 4.51493243066412
2018 1 844 4.29502330522308
2020 1 844 4.04836401859814
2022 1 844 3.78349126103055
2024 1 844 3.50894091830583
2026 1 844 3.23518675531643
2028 1 844 2.97136353168883
2030 1 844 2.72619603529317
2032 1 844 2.50822468950134
2034 1 844 2.32481341635932
2036 1 844 2.18182007713454
2038 1 844 2.08353216468097
2040 1 844 2.03249898194065
