Energy Num_Lines PIGE_Energy PIGE_Counts
2000 1 844 4.6347843708432
2002 1 844 4.8092387274325
2004 1 844 4.93374860987401
2006 1 844 5.00462630510405
2008 1 844 5.01849845192683
2010 1 844 4.97616740946151
2012 1 844 4.88085369968878
2014 1 844 4.73671479019302
2016 1 844 4.54760242501015
2018 1 844 4.32121096844279
2020 1 844 4.0671641410757
2022 1 844 3.79470547075334
2024 1 844 3.51222846114712
2026 1 844 3.2304008334626
2028 1 844 2.95891140802202
2030 1 844 2.70661353945202
2032 1 844 2.48226978207898
2034 1 844 2.29348539831213
2036 1 844 2.14635794899769
2038 1 844 2.04536918938681
2040 1 844 1.99314794439846
