Energy Num_Lines PIGE_Energy PIGE_Counts
2000 1 844 4.43689059789221
2002 1 844 4.5964648066975
2004 1 844 4.71287779262242
2006 1 844 4.78282184107149
2008 1 844 4.80452809106454
2010 1 844 4.77783701514297
2012 1 844 4.70428658756488
2014 1 844 4.58700323709402
2016 1 844 4.43062664919174
2018 1 844 4.24112496053305
2020 1 844 4.02552646051213
2022 1 844 3.79165378443555
2024 1 844 3.54787256105421
2026 1 844 3.30274580254834
2028 1 844 3.0647601801807
2030 1 844 2.84198947929086
2032 1 844 2.64185141706488
2034 1 844 2.47083813626742
2036 1 844 2.33430556472572
2038 1 844 2.23623096456926
2040 1 844 2.17909066570661
