Energy Num_Lines PIGE_Energy PIGE_Counts
2000 1 844 4.43773675609168
2002 1 844 4.59744169317663
2004 1 844 4.71394352102298
2006 1 844 4.78392580349157
2008 1 844 4.80562029228677
2010 1 844 4.77890669657469
2012 1 844 4.70528545295053
2014 1 844 4.58788056127014
2016 1 844 4.43138273308038
2018 1 844 4.24172269339753
2020 1 844 4.02592762823263
2022 1 844 3.79186715164168
2024 1 844 3.54791397707673
2026 1 844 3.30260841430198
2028 1 844 3.06441726595056
2030 1 844 2.84145848095534
2032 1 844 2.64115165395122
2034 1 844 2.47001231698214
2036 1 844 2.33344446180425
2038 1 844 2.23534023942036
2040 1 844 2.17815982851143
