Energy Num_Lines PIGE_Energy PIGE_Counts
2000 1 844 4.60083574437345
2002 1 844 4.7704848167045
2004 1 844 4.89140470645061
2006 1 844 4.96039871799111
2008 1 844 4.97390748140521
2010 1 844 4.93270121191551
2012 1 844 4.83989547825711
2014 1 844 4.69981581970338
2016 1 844 4.51605159835815
2018 1 844 4.29591079805524
2020 1 844 4.04875290781068
2022 1 844 3.78386904678657
2024 1 844 3.50926580933685
2026 1 844 3.23520078083624
2028 1 844 2.97121919728415
2030 1 844 2.72594184440263
2032 1 844 2.50786760617108
2034 1 844 2.32434217142451
2036 1 844 2.18127657481639
2038 1 844 2.08296939202921
2040 1 844 2.03196192196698
