Energy Num_Lines PIGE_Energy PIGE_Counts
2000 1 844 4.47460776298837
2002 1 844 4.63873216505195
2004 1 844 4.75840160431154
2006 1 844 4.83011625243193
2008 1 844 4.85200256376686
2010 1 844 4.8238683559161
2012 1 844 4.74725741832758
2014 1 844 4.62538341461238
2016 1 844 4.4631964538239
2018 1 844 4.26681627042871
2020 1 844 4.04353416277809
2022 1 844 3.80146180761503
2024 1 844 3.54934422257001
2026 1 844 3.29600086185648
2028 1 844 3.05018148201665
2030 1 844 2.82021681713934
2032 1 844 2.61379216237328
2034 1 844 2.43766113968407
2036 1 844 2.29719974772784
2038 1 844 2.19665559590238
2040 1 844 2.13866708997947
