Depth	Straggling
1E15 at./cm2	keV FWHM
0	0
195.157	1.987
573.848	3.408
1223.001	4.979
2170.136	6.637
3430.738	8.355
5013.958	10.115
6925.225	11.909
9167.569	13.73
11742.314	15.577
14649.484	17.448
17888.06	19.342
21456.123	21.261
25350.925	23.199
29569.098	25.163
34106.711	27.169
38959.072	29.197
44120.85	31.257
49586.283	33.349
49874.428	33.457
50163.326	33.566
50452.976	33.675
50743.378	33.784
51034.53	33.894
51326.432	34.003
51619.082	34.113
51912.48	34.222
52206.625	34.332
52501.515	34.442
52797.149	34.552
53093.527	34.662
53390.648	34.772
53688.511	34.882
53987.113	34.992
54286.456	35.102
54586.537	35.212
54887.356	35.323
55188.911	35.433
55491.202	35.544
55794.227	35.654
56097.986	35.765
56402.477	35.876
56707.7	35.987
56800	36.02
56800	36.02
56817.921	36.026
57140.713	36.136
57464.259	36.246
57788.555	36.357
58113.602	36.468
58439.398	36.58
58765.941	36.691
59093.232	36.803
59421.268	36.915
59750.049	37.027
60079.573	37.139
60409.84	37.251
60740.847	37.363
61072.595	37.475
61405.081	37.587
61738.305	37.7
62072.266	37.812
62406.962	37.925
62710	38.027
62710	38.027
63028.097	38.141
